Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
Vulgar,2000,R,26 Apr 2002,87,"Crime, Drama, Thriller",English,,5.3,"3,876",tt0120467,movie,Lions Gate Films,120000,14904,-87.58
Out of the Furnace,2013,R,06 Dec 2013,116,"Action, Crime, Drama, Thriller",English,2 wins & 9 nominations.,6.8,"103,339",tt1206543,movie,Relativity Media,22000000,15400000,-30.0
Coyote Ugly,2000,PG-13,04 Aug 2000,100,"Comedy, Drama, Music, Romance",English,4 wins & 8 nominations.,5.7,"104,644",tt0200550,movie,Buena Vista,45000000,113916474,153.15
Parental Guidance,2012,PG,25 Dec 2012,105,"Comedy, Family",English,1 win & 4 nominations.,6.0,"24,453",tt1047540,movie,20th Century Fox,25000000,119772232,379.09
Raising Helen,2004,PG-13,28 May 2004,119,"Comedy, Drama, Romance",English,1 nomination.,6.0,"34,868",tt0350028,movie,Buena Vista Pictures,50000000,49718611,-0.56
Escape Plan,2013,R,18 Oct 2013,115,"Action, Thriller","English, German, Arabic, Urdu",2 nominations.,6.7,"222,463",tt1211956,movie,Summit Entertainment,50000000,122915111,145.83
Fair Game,1995,R,03 Nov 1995,91,"Action, Romance, Thriller","English, Russian",4 nominations.,4.3,"11,848",tt0113010,movie,Warner Home Video,50000000,11534477,-76.93
The Girlfriend Experience,2009,R,08 Jul 2009,77,Drama,"English, French",1 nomination.,5.5,"15,619",tt1103982,movie,Magnolia Pictures,1700000,1007962,-40.71
She's the Man,2006,PG-13,17 Mar 2006,105,"Comedy, Romance, Sport",English,2 wins & 5 nominations.,6.3,"142,680",tt0454945,movie,DreamWorks SKG,20000000,33889159,69.45
Analyze This,1999,R,05 Mar 1999,103,"Comedy, Crime",English,Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,6.7,"143,019",tt0122933,movie,Warner Bros. Pictures,80000000,176885658,121.11
Fifty Shades Darker,2017,R,10 Feb 2017,118,"Drama, Romance",English,3 wins & 12 nominations.,4.6,"88,555",tt4465564,movie,Universal Pictures,55000000,378827494,588.78
Star Trek,2009,PG-13,08 May 2009,127,"Action, Adventure, Sci-Fi",English,Won 1 Oscar. Another 24 wins & 93 nominations.,7.9,"569,689",tt0796366,movie,IMAX,150000000,385680446,157.12
Sleepers,1996,R,18 Oct 1996,147,"Crime, Drama, Thriller",English,Nominated for 1 Oscar. Another 1 win & 4 nominations.,7.6,"182,661",tt0117665,movie,Warner Bros. Pictures,44000000,165615285,276.4
Ben-Hur,2016,PG-13,19 Aug 2016,123,"Action, Adventure, Drama, History","English, Persian, Greek, Arabic",2 wins & 3 nominations.,5.7,"40,445",tt2638144,movie,Paramount Pictures,100000000,94061311,-5.94
Living in Oblivion,1995,R,21 Jul 1995,90,"Comedy, Drama",English,7 wins & 7 nominations.,7.5,"15,918",tt0113677,movie,Sony Pictures Home Entertainment,500000,1148752,129.75
What Women Want,2000,PG-13,15 Dec 2000,127,"Comedy, Fantasy, Romance",English,Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,6.4,"187,739",tt0207201,movie,Paramount Pictures,70000000,374111707,434.45
Point Break,1991,R,12 Jul 1991,122,"Action, Crime, Thriller",English,1 win & 2 nominations.,7.3,"150,813",tt0102685,movie,Twentieth Century Fox Home Entertainment,24000000,83531958,248.05
Sex Tape,2014,R,18 Jul 2014,94,"Comedy, Romance","English, Ukrainian",2 wins & 3 nominations.,5.1,"105,241",tt1956620,movie,Sony Pictures,40000000,126069509,215.17
Sully,2016,PG-13,09 Sep 2016,96,"Biography, Drama",English,Nominated for 1 Oscar. Another 14 wins & 34 nominations.,7.4,"226,655",tt3263904,movie,Warner Bros.,60000000,240797623,301.33
Focus,2015,R,27 Feb 2015,105,"Comedy, Crime, Drama, Romance","English, Spanish",3 nominations.,6.6,"209,202",tt2381941,movie,Warner Bros. Pictures,50100000,153962963,207.31
Paranormal Activity: The Marked Ones,2014,R,03 Jan 2014,84,"Horror, Mystery, Thriller","English, Spanish",3 nominations.,5.0,"38,952",tt2473682,movie,Paramount Pictures,5000000,86362372,1627.25
Father Figures,2017,R,22 Dec 2017,113,"Comedy, Drama",English,1 nomination.,5.5,"16,935",tt1966359,movie,Warner Bros. Pictures,25000000,25601244,2.4
What's the Worst That Could Happen?,2001,PG-13,01 Jun 2001,94,"Comedy, Crime","English, American Sign Language",,5.5,"14,524",tt0161083,movie,MGM,60000000,32095318,-46.51
The Matrix Revolutions,2003,R,05 Nov 2003,129,"Action, Sci-Fi","English, French",5 wins & 35 nominations.,6.8,"435,571",tt0242653,movie,Warner Bros. Pictures,150000000,424988211,183.33
Cry-Baby,1990,PG-13,06 Apr 1990,85,"Comedy, Musical",English,,6.5,"53,268",tt0099329,movie,Universal Pictures,11000000,8266343,-24.85
Gravity,2013,PG-13,04 Oct 2013,91,"Drama, Sci-Fi, Thriller","English, Greenlandic",Won 7 Oscars. Another 233 wins & 182 nominations.,7.7,"749,518",tt1454468,movie,Warner Bros. Pictures,105000000,716392705,582.28
Big Momma's House 2,2006,PG-13,27 Jan 2006,99,"Comedy, Crime",English,1 win & 5 nominations.,4.7,"39,767",tt0421729,movie,20th Century Fox,40000000,138259062,245.65
Thelma & Louise,1991,R,24 May 1991,130,"Adventure, Crime, Drama",English,Won 1 Oscar. Another 23 wins & 49 nominations.,7.5,"130,587",tt0103074,movie,MGM,16000000,45361000,183.51
Bikini Spring Break,2012,R,26 Jun 2012,87,Comedy,English,,3.1,"1,779",tt2304517,movie,The Asylum,500000,500000,0.0
Journey to the Center of the Earth,2008,PG,11 Jul 2008,93,"Action, Adventure, Family, Fantasy, Sci-Fi","English, Icelandic, Italian",3 wins & 3 nominations.,5.8,"110,540",tt0373051,movie,Warner Bros. Pictures,45000000,101702060,126.0
A Rage in Harlem,1991,R,03 May 1991,115,"Comedy, Crime",English,1 nomination.,5.9,"1,873",tt0102749,movie,HBO Video,8000000,10400000,30.0
Concussion,2015,PG-13,25 Dec 2015,123,"Biography, Drama, Sport",English,Nominated for 1 Golden Globe. Another 4 wins & 15 nominations.,7.1,"83,354",tt3322364,movie,Sony Pictures,35000000,50363790,43.9
"I Love You, Man",2009,R,20 Mar 2009,105,"Comedy, Romance",English,1 win & 8 nominations.,7.0,"190,803",tt1155056,movie,Dreamworks/Paramount,41000000,91980359,124.34
Harold & Kumar Escape from Guantanamo Bay,2008,R,25 Apr 2008,114,"Adventure, Comedy","English, Spanish, French",1 win & 1 nomination.,6.6,"128,618",tt0481536,movie,Warner Bros. Pictures,12000000,43493123,262.44
Nothing Left to Fear,2013,R,26 Sep 2013,100,Horror,English,,4.4,"4,697",tt1662293,movie,Anchor Bay Entertainment,3000000,1675381,-44.15
The Cave,2005,PG-13,26 Aug 2005,97,"Action, Adventure, Horror, Sci-Fi, Thriller","English, Romanian",,5.1,"34,547",tt0402901,movie,Screen Gems,30000000,15007991,-49.97
Righteous Kill,2008,R,12 Sep 2008,101,"Crime, Drama, Mystery, Thriller","English, Spanish, Russian",1 win & 2 nominations.,6.0,"83,168",tt1034331,movie,Overture Films,60000000,73174566,21.96
The Lost City of Z,2016,PG-13,21 Apr 2017,141,"Biography, Drama, History","English, Portuguese, Tupi, Spanish, German",6 wins & 30 nominations.,6.6,"75,108",tt1212428,movie,Amazon Studios/Bleecker Street Media,30000000,8574339,-71.42
Street Kings,2008,R,11 Apr 2008,109,"Action, Crime, Drama, Thriller","English, Turkish",1 nomination.,6.8,"105,566",tt0421073,movie,20th Century Fox/Regency Films,20000000,65569869,227.85
Cape Fear,1991,R,15 Nov 1991,128,"Crime, Thriller",English,Nominated for 2 Oscars. Another 5 wins & 19 nominations.,7.3,"165,740",tt0101540,movie,MCA/Universal Pictures,35000000,182300000,420.86
Fled,1996,R,19 Jul 1996,98,"Action, Adventure, Crime, Drama, Romance","English, Spanish",,5.4,"8,367",tt0116320,movie,MGM Home Entertainment,25000000,17193231,-31.23
Flightplan,2005,PG-13,23 Sep 2005,98,"Drama, Mystery, Thriller","English, French, German, Arabic, Italian, Japanese",2 wins & 6 nominations.,6.3,"149,311",tt0408790,movie,Touchstone Pictures,55000000,223387299,306.16
Brave,2012,PG,22 Jun 2012,93,"Animation, Adventure, Comedy, Family, Fantasy",English,Won 1 Oscar. Another 19 wins & 48 nominations.,7.1,"361,410",tt1217209,movie,Walt Disney Pictures,185000000,538983207,191.34
The Score,2001,R,13 Jul 2001,124,"Crime, Drama, Thriller","English, French",1 win & 1 nomination.,6.8,"118,091",tt0227445,movie,Paramount Pictures,68000000,113579918,67.03
UglyDolls,2019,PG,03 May 2019,87,"Animation, Adventure, Comedy, Family, Fantasy, Musical",English,1 win & 1 nomination.,4.9,"5,049",tt1946502,movie,STXfilms,45000000,27530241,-38.82
Tombstone,1993,R,25 Dec 1993,130,"Action, Biography, Drama, History, Western","English, Latin",2 nominations.,7.8,"121,410",tt0108358,movie,Buena Vista,25000000,56505065,126.02
Save the Last Dance,2001,PG-13,12 Jan 2001,112,"Drama, Music, Romance",English,6 wins & 8 nominations.,6.2,"55,963",tt0206275,movie,Unknown,13000000,91038276,600.29
Local Color,2006,R,15 Aug 2009,107,Drama,English,3 wins.,6.9,"1,409",tt0472126,movie,Monterey Media Inc.,3250000,32788,-98.99
The Adventures of Tintin,2011,PG,21 Dec 2011,107,"Animation, Action, Adventure, Family, Mystery",English,Nominated for 1 Oscar. Another 22 wins & 62 nominations.,7.3,"211,829",tt0983193,movie,Paramount,130000000,371940071,186.11
New Jack City,1991,R,08 Mar 1991,97,"Action, Crime, Drama, Thriller",English,1 win & 5 nominations.,6.7,"30,449",tt0102526,movie,Warner Bros. Pictures,8500000,47624253,460.29
The Kingdom,2007,R,28 Sep 2007,110,"Action, Drama, Thriller","English, Arabic",5 nominations.,7.0,"115,496",tt0431197,movie,Universal Pictures,70000000,86658558,23.8
Twisted,2004,R,27 Feb 2004,97,"Crime, Drama, Mystery, Thriller","English, Italian, Spanish",1 win.,5.3,"19,897",tt0315297,movie,Paramount Pictures,50000000,25195000,-49.61
What a Girl Wants,2003,PG,04 Apr 2003,105,"Comedy, Drama, Family, Romance",English,1 win.,5.8,"57,983",tt0286788,movie,Warner Bros. Pictures,20000000,50732139,153.66
Non-Stop,2014,PG-13,28 Feb 2014,106,"Action, Mystery, Thriller","English, German",1 nomination.,6.9,"245,328",tt2024469,movie,Universal Pictures,50000000,222809600,345.62
Brother Bear,2003,G,07 Nov 2003,85,"Animation, Adventure, Comedy, Family, Fantasy","English, Inuktitut, Croatian, Serbian",Nominated for 1 Oscar. Another 2 wins & 21 nominations.,6.8,"93,217",tt0328880,movie,Buena Vista Pictures,128000000,250397798,95.62
Cookie's Fortune,1999,PG-13,16 Apr 1999,118,"Comedy, Drama",English,3 wins & 11 nominations.,6.8,"12,442",tt0126250,movie,October Film,10000000,10920544,9.21
Rudolph the Red-Nosed Reindeer,1998,G,16 Oct 1998,83,"Animation, Adventure, Family, Musical, Romance",English,2 nominations.,5.9,"2,413",tt0137201,movie,Legacy Releasing,10000000,113484,-98.87
Dinner for Schmucks,2010,PG-13,30 Jul 2010,114,Comedy,English,1 nomination.,5.9,"96,874",tt0427152,movie,Paramount Studios,69000000,86387857,25.2
Never Back Down,2008,PG-13,14 Mar 2008,113,"Action, Drama, Sport",English,1 win.,6.6,"94,021",tt1023111,movie,Summit Entertainment,20000000,41627431,108.14
Total Recall,2012,PG-13,03 Aug 2012,118,"Action, Adventure, Sci-Fi, Thriller","English, Ukrainian",2 wins & 6 nominations.,6.3,"236,047",tt1386703,movie,Sony Pictures,125000000,198802074,59.04
Charlotte's Web,2006,G,15 Dec 2006,97,"Comedy, Family, Fantasy",English,10 wins & 11 nominations.,6.3,"35,634",tt0413895,movie,Paramount Pictures,85000000,144000000,69.41
Tomb Raider,2018,PG-13,16 Mar 2018,119,"Action, Adventure, Fantasy, Thriller","English, Cantonese, Hindi",7 nominations.,6.3,"183,618",tt1365519,movie,Warner Bros. Pictures,94000000,274650803,192.18
Rollerball,2002,PG-13,08 Feb 2002,98,"Action, Sci-Fi, Sport","English, Russian, French, Arabic, Korean, German, Japanese",5 wins & 3 nominations.,3.1,"25,272",tt0246894,movie,MGM Home Entertainment,70000000,25852764,-63.07
Princess Kaiulani,2009,PG,14 May 2010,130,Drama,"English, Hawaiian",6 wins.,6.2,"1,534",tt1185344,movie,Roadside Attractions,9000000,771499,-91.43
Don Juan DeMarco,1994,PG-13,07 Apr 1995,97,"Comedy, Drama, Romance","English, Spanish",Nominated for 1 Oscar. Another 4 wins & 4 nominations.,6.7,"47,036",tt0112883,movie,New Line Home Entertainment,25000000,22200000,-11.2
The Remains of the Day,1993,PG,19 Nov 1993,134,"Drama, Romance","English, French, German",Nominated for 8 Oscars. Another 17 wins & 32 nominations.,7.8,"63,250",tt0107943,movie,Sony Pictures Home Entertainment,11500000,23237911,102.07
Windtalkers,2002,R,14 Jun 2002,134,"Action, Drama, War","English, Navajo, Japanese",3 wins & 4 nominations.,6.1,"64,154",tt0245562,movie,MGM/UA,115000000,77628265,-32.5
Wonder Wheel,2017,PG-13,15 Dec 2017,101,Drama,English,4 wins & 4 nominations.,6.2,"23,717",tt5825380,movie,Amazon Studios,25000000,15366466,-38.53
12 and Holding,2005,R,07 Jul 2006,94,Drama,English,5 nominations.,7.5,"6,623",tt0417385,movie,IFC Films,400000,95687,-76.08
Ed Wood,1994,R,07 Oct 1994,127,"Biography, Comedy, Drama",English,Won 2 Oscars. Another 25 wins & 34 nominations.,7.8,"162,206",tt0109707,movie,Buena Vista Pictures,18000000,5887457,-67.29
When the Game Stands Tall,2014,PG,22 Aug 2014,115,"Drama, Sport",English,1 nomination.,6.7,"14,957",tt2247476,movie,Sony Pictures,15000000,30127963,100.85
American Made,2017,R,29 Sep 2017,115,"Action, Biography, Comedy, Crime, Drama","English, Spanish",3 nominations.,7.2,"150,807",tt3532216,movie,Universal Pictures,50000000,133511855,167.02
Cheaper by the Dozen,2003,PG,25 Dec 2003,98,"Comedy, Family",English,2 wins & 7 nominations.,5.9,"91,711",tt0349205,movie,20th Century Fox,40000000,190212113,375.53
Dragon: The Bruce Lee Story,1993,PG-13,07 May 1993,120,"Action, Biography, Drama, Romance","English, Cantonese",1 win & 3 nominations.,7.0,"26,704",tt0106770,movie,MCA Universal Home Video,14000000,63513743,353.67
9,2009,PG-13,09 Sep 2009,79,"Animation, Action, Adventure, Drama, Sci-Fi",English,9 nominations.,7.1,"130,452",tt0472033,movie,Focus Features,30000000,48428063,61.43
Get Rich or Die Tryin',2005,R,09 Nov 2005,117,"Biography, Crime, Drama, Music","English, Spanish",6 wins & 3 nominations.,5.4,"43,007",tt0430308,movie,Paramount Pictures,40000000,46442528,16.11
Bridesmaids,2011,R,13 May 2011,125,"Comedy, Romance","English, Thai, Spanish",Nominated for 2 Oscars. Another 25 wins & 70 nominations.,6.8,"261,565",tt1478338,movie,Universal Studios,32500000,288383523,787.33
The Beaver,2011,PG-13,19 May 2011,91,Drama,English,2 wins & 12 nominations.,6.6,"46,385",tt1321860,movie,Summit Entertainment,21000000,970816,-95.38
The Ninth Gate,1999,R,10 Mar 2000,133,"Mystery, Thriller","English, French, Latin, Portuguese, Spanish",2 wins & 5 nominations.,6.7,"162,053",tt0142688,movie,Artisan Entertainment,38000000,58401898,53.69
Project X,2012,R,02 Mar 2012,88,Comedy,English,5 nominations.,6.6,"184,722",tt1636826,movie,Warner Bros. Pictures,12000000,100000000,733.33
The Darkest Hour,2011,PG-13,25 Dec 2011,89,"Action, Adventure, Horror, Sci-Fi, Thriller","English, Russian",1 nomination.,4.9,"56,761",tt1093357,movie,Summit Entertainment,30000000,64626786,115.42
Drag Me to Hell,2009,PG-13,29 May 2009,99,"Horror, Thriller","English, Spanish, Hungarian, Czech",7 wins & 22 nominations.,6.5,"184,194",tt1127180,movie,Universal Pictures,30000000,90810892,202.7
Snitch,2013,PG-13,22 Feb 2013,112,"Action, Drama, Thriller","English, Spanish",1 nomination.,6.4,"81,425",tt0882977,movie,Lionsgate/Summit Entertainment,35000000,42930462,22.66
Tin Cup,1996,R,16 Aug 1996,135,"Comedy, Drama, Romance, Sport",English,Nominated for 1 Golden Globe. Another 3 nominations.,6.4,"45,017",tt0117918,movie,New Line Home Entertainment,45000000,53854588,19.68
Bad Times at the El Royale,2018,R,12 Oct 2018,141,"Crime, Drama, Mystery, Thriller",English,2 wins & 9 nominations.,7.1,"121,177",tt6628394,movie,20th Century Fox,32000000,31882724,-0.37
Bee Season,2005,PG-13,23 Nov 2005,104,"Drama, Family","English, Hebrew",1 nomination.,5.5,"6,498",tt0387059,movie,Fox Searchlight Pictures,14000000,6856989,-51.02
Man of Tai Chi,2013,R,05 Jul 2013,105,"Action, Drama","Cantonese, English, Mandarin",,6.1,"34,706",tt2016940,movie,Radius-TWC,25000000,2054941,-91.78
Playing God,1997,R,17 Oct 1997,94,"Crime, Thriller, Drama","English, Russian",,5.6,"7,130",tt0119906,movie,Touchstone Pictures,12000000,4166918,-65.28
The Majestic,2001,PG,21 Dec 2001,152,"Drama, Romance",English,3 wins & 1 nomination.,6.9,"51,451",tt0268995,movie,Universal Pictures,72000000,37317558,-48.17
21 Bridges,2019,R,22 Nov 2019,99,"Action, Crime, Drama, Thriller",English,2 nominations.,6.6,"32,234",tt8688634,movie,STXfilms,33000000,47088457,42.69
Last Night,2010,R,16 Feb 2011,93,"Drama, Romance",English,4 nominations.,6.6,"46,124",tt1294688,movie,Independent Pictures,7000000,7644937,9.21
Summer of Sam,1999,R,02 Jul 1999,142,"Crime, Drama, Romance, Thriller","English, Italian",6 nominations.,6.7,"35,385",tt0162677,movie,Lionsgate,22000000,19288130,-12.33
The Nut Job,2014,PG,17 Jan 2014,85,"Animation, Adventure, Comedy, Crime, Family","English, Dutch",1 win & 5 nominations.,5.7,"25,939",tt1821658,movie,Open Road Films,42000000,122529966,191.74
The Tigger Movie,2000,G,11 Feb 2000,77,"Animation, Comedy, Drama, Family, Musical",English,4 nominations.,6.3,"16,580",tt0220099,movie,Buena Vista,30000000,45554533,51.85
The Godfather: Part III,1990,R,25 Dec 1990,162,"Crime, Drama","English, Italian, German, Latin",Nominated for 7 Oscars. Another 6 wins & 16 nominations.,7.6,"347,141",tt0099674,movie,Paramount Pictures,54000000,136766062,153.27
Radio Flyer,1992,PG-13,21 Feb 1992,114,Drama,English,1 win & 2 nominations.,7.0,"12,091",tt0105211,movie,Sony Pictures Home Entertainment,35000000,4651977,-86.71
The Legend of Tarzan,2016,PG-13,01 Jul 2016,110,"Action, Adventure, Drama, Fantasy, Romance","English, Lingala, French",2 wins & 4 nominations.,6.2,"159,283",tt0918940,movie,Lionsgate Pictures,180000000,356743061,98.19
102 Dalmatians,2000,G,22 Nov 2000,100,"Adventure, Comedy, Family",English,Nominated for 1 Oscar. Another 1 win & 7 nominations.,4.9,"33,864",tt0211181,movie,Buena Vista Pictures,85000000,183611771,116.01
City of Industry,1997,R,14 Mar 1997,97,"Crime, Drama, Thriller",English,1 nomination.,6.1,"5,509",tt0118859,movie,Orion Home Video,8000000,1568258,-80.4
Timecop,1994,R,16 Sep 1994,99,"Action, Crime, Sci-Fi, Thriller",English,1 win & 4 nominations.,5.9,"54,206",tt0111438,movie,MCA Universal Home Video,27000000,101646581,276.47
Whiplash,2014,R,15 Oct 2014,106,"Drama, Music",English,Won 3 Oscars. Another 91 wins & 143 nominations.,8.5,"682,746",tt2582802,movie,Sony Pictures Classics,3300000,13092000,296.73
The Spiderwick Chronicles,2008,PG,14 Feb 2008,96,"Action, Adventure, Drama, Family, Fantasy",English,2 wins & 8 nominations.,6.5,"85,896",tt0416236,movie,Paramount Pictures,90000000,162839667,80.93
She's the One,1996,R,23 Aug 1996,96,"Comedy, Drama, Romance",English,3 nominations.,6.0,"15,900",tt0117628,movie,Twentieth Century Fox Home Entertainment,3500000,9538948,172.54
Keeping Up with the Joneses,2016,PG-13,21 Oct 2016,105,"Action, Comedy","English, Hebrew, Mandarin",3 nominations.,5.9,"55,621",tt2387499,movie,20th Century Fox,40000000,29918745,-25.2
Cold Mountain,2003,R,25 Dec 2003,154,"Adventure, Drama, History, Romance, War",English,Won 1 Oscar. Another 19 wins & 101 nominations.,7.2,"137,116",tt0159365,movie,Miramax Films,79000000,173013509,119.0
The Astronaut's Wife,1999,R,27 Aug 1999,109,"Drama, Sci-Fi, Thriller",English,1 nomination.,5.4,"51,969",tt0138304,movie,New Line Home Entertainment,75000000,19598588,-73.87
Maze Runner: The Scorch Trials,2015,PG-13,18 Sep 2015,131,"Action, Adventure, Sci-Fi, Thriller",English,2 wins & 5 nominations.,6.3,"213,755",tt4046784,movie,20th Century Fox,61000000,312296056,411.96
Power Rangers,2017,PG-13,24 Mar 2017,124,"Action, Adventure, Sci-Fi","English, Mandarin",6 nominations.,5.9,"99,303",tt3717490,movie,Lionsgate Films,100000000,142337240,42.34
A Perfect Murder,1998,R,05 Jun 1998,107,"Crime, Drama, Thriller","English, Arabic",2 wins & 3 nominations.,6.5,"76,995",tt0120787,movie,Universal / Warner Bros.,60000000,128038368,113.4
Schindler's List,1993,R,04 Feb 1994,195,"Biography, Drama, History","Latin, English, Hebrew, German, Polish",Won 7 Oscars. Another 83 wins & 49 nominations.,8.9,"1,171,229",tt0108052,movie,Universal Pictures,22000000,321365567,1360.75
My Big Fat Greek Wedding 2,2016,PG-13,25 Mar 2016,94,"Comedy, Romance","English, Greek",3 nominations.,6.0,"27,431",tt3760922,movie,Gold Circle Films,18000000,88923251,394.02
Claire of the Moon,1992,Unrated,21 Oct 1993,107,"Drama, Romance",English,,5.1,905,tt0103977,movie,Wellspring Media Inc.,130000,799674,515.13
Little Miss Sunshine,2006,R,18 Aug 2006,101,"Comedy, Drama",English,Won 2 Oscars. Another 70 wins & 111 nominations.,7.8,"427,805",tt0449059,movie,Fox Searchlight,8000000,100523181,1156.54
Armageddon,1998,PG-13,01 Jul 1998,151,"Action, Adventure, Sci-Fi, Thriller","English, Russian, Indonesian",Nominated for 4 Oscars. Another 15 wins & 36 nominations.,6.7,"387,888",tt0120591,movie,Buena Vista,140000000,553799566,295.57
The Prodigy,2019,R,08 Feb 2019,92,"Horror, Thriller",English,1 win & 1 nomination.,5.8,"21,353",tt4504044,movie,Unknown,6000000,21150265,252.5
Stolen,2012,R,06 Sep 2012,96,"Action, Crime, Thriller","English, Swedish",,5.5,"42,470",tt1656186,movie,Millennium Entertainment,35000000,2106557,-93.98
K-12,2019,Unrated,05 Sep 2019,96,"Fantasy, Horror, Musical",English,,6.4,"2,055",tt10521814,movie,Unknown,50000,359377,618.75
Roger Corman's Frankenstein Unbound,1990,R,02 Nov 1990,85,"Drama, Horror, Sci-Fi",English,4 nominations.,5.5,"3,439",tt0099612,movie,20th Century Fox Film Corporation,11500000,334748,-97.09
Coach Carter,2005,PG-13,14 Jan 2005,136,"Biography, Drama, Sport",English,3 wins & 15 nominations.,7.3,"121,970",tt0393162,movie,Paramount Pictures,30000000,76669806,155.57
