Budget,IMDB ID,Revenue
11000000,tt0108550,10032765
45000000,tt0110093,61947267
3000000,tt0103873,242623
15000000,tt0106375,118243066
25000000,tt0111143,48063435
28000000,tt0111419,11373501
115000000,tt0111503,378882411
20000000,tt0110678,15340000
8000000,tt0106950,6739141
12000000,tt0110657,15826984
45000000,tt0109446,117615211
50000000,tt0110725,49000000
85000000,tt0107362,137298489
23000000,tt0110475,351583407
62000000,tt0109444,215887717
11500000,tt0110950,20079850
13000000,tt0106505,2570145
40000000,tt0109456,19726050
1500000,tt0110265,418961
3000000,tt0110598,15119639
34000000,tt0110632,50282766
10000000,tt0107079,18225518
10500000,tt0108320,123509
5000000,tt0110005,3049135
20000000,tt0110944,305070
40000000,tt0103874,215862692
25000000,tt0111161,28341469
700000,tt0110057,7830611
27000,tt0109445,3151130
16000000,tt0110413,45284974
27000000,tt0111438,101646581
15000000,tt0110168,70936
25000000,tt0107007,12700000
50000000,tt0111400,16478900
18000000,tt0109707,5887457
7000000,tt0110186,20851521
22000000,tt0108052,321365567
45000000,tt0110997,94216343
11500000,tt0107983,3275585
17080000,tt0109067,21011500
23000000,tt0108395,71368
45000000,tt0111255,170362582
14000000,tt0103247,34793160
25000000,tt0112883,22200000
5000000,tt0109578,1702394
14000000,tt0111686,18090181
1488423,tt0029583,184925486
3000000,tt0107254,15938065
9000000,tt0110759,4350774
55000000,tt0111282,196567262
30000000,tt0111187,3180674
45000000,tt0109836,112006296
3500000,tt0106761,2341309
14000000,tt0107840,27515786
22000000,tt0111070,189833357
18000000,tt0107688,75634409
60000000,tt0110148,223664608
20000000,tt0111333,9771658
38000000,tt0111280,120000000
60000000,tt0110216,108431355
10000000,tt0110399,29392418
27000000,tt0110763,13670688
8500000,tt0109368,250993
26000000,tt0110027,36800000
16000000,tt0109686,247275374
45000000,tt0109676,28735315
55000000,tt0109635,214015089
30000000,tt0087332,295212467
19000000,tt0107719,2119994
7400000,tt0111323,7690013
30000000,tt0110322,160638883
18000000,tt0110367,50083616
35000000,tt0111301,99423521
15000000,tt0110907,11300653
31000000,tt0110638,106683817
3500000,tt0102536,2015810
4000000,tt0114371,389503
10500000,tt0110066,26325256
9000000,tt0107302,2395231
14600000,tt0107048,70906973
2500000,tt0112471,5535405
150000,tt0114095,472370
500000,tt0113677,1148752
6000000,tt0114814,23341568
6,tt0113808,5
21000000,tt0112571,23450000
32000000,tt0114214,18552460
10000000,tt0112508,26488734
1000000,tt0125453,4000000
10000000,tt0110006,17689177
25000000,tt0113360,6600000
22000000,tt0114296,12400000
15000000,tt0113303,12201255
50000000,tt0114069,189859560
600000,tt0110978,185898
17000000,tt0113691,7603766
14000000,tt0091149,38625550
10000000,tt0105665,4160851
14000000,tt0113463,2474000
25000000,tt0114614,4064495
18000000,tt0113198,35348597
19000000,tt0112442,141407024
28000000,tt0114108,3983912
28000000,tt0114287,31596911
17000000,tt0114924,182057016
3500000,tt0113118,28215918
6000000,tt0114697,5093707
